Country/Region,Continent,Population,TotalTests,Tests/1M pop,Tot Cases/1M pop,Deaths/1M pop,"Serious,Critical"
Lesotho,Africa,2143943.0,8771.0,4091.0,346.0,11.0,534.3934426229508
Diamond Princess,Unknown,30415486.971153848,1402404.7015706806,83959.3664921466,3196.0240384615386,98.68117647058824,4.0
San Marino,Europe,33938.0,6068.0,178797.0,20596.0,1238.0,534.3934426229508
Réunion,Africa,895952.0,35419.0,39532.0,749.0,6.0,3.0
Channel Islands,Europe,174022.0,30721.0,176535.0,3431.0,270.0,534.3934426229508
Guyana,South America,786936.0,5165.0,6563.0,684.0,28.0,2.0
Tanzania,Africa,59886383.0,1402404.7015706806,83959.3664921466,8.0,0.4,7.0
Taiwan,Asia,23821199.0,82737.0,3473.0,20.0,0.3,534.3934426229508
Comoros,Africa,871326.0,1402404.7015706806,83959.3664921466,454.0,8.0,534.3934426229508
Burundi,Africa,11922216.0,15614.0,1310.0,33.0,0.08,534.3934426229508
