country,country_code,date,cumulative_vaccinations,daily_vaccinations
Belgium,BEL,2021-09-05,16421197.0,1483.0
Belgium,BEL,2021-09-06,16427777.0,6580.0
Belgium,BEL,2021-09-07,16437879.0,10102.0
Belgium,BEL,2021-09-08,16464710.0,26831.0
Belgium,BEL,2021-09-09,16476224.0,11514.0
Belgium,BEL,2021-09-10,16494864.0,18640.0
Belgium,BEL,2021-09-11,16517667.0,22803.0
Belgium,BEL,2021-09-12,16519139.0,1472.0
Belgium,BEL,2021-09-13,16527934.0,8795.0
Belgium,BEL,2021-09-14,16533162.0,5228.0
Belgium,BEL,2021-09-15,16551027.0,17865.0
Belgium,BEL,2021-09-16,16565520.0,14493.0
Belgium,BEL,2021-09-17,16587808.0,22288.0
Belgium,BEL,2021-09-18,16615739.0,27931.0
Belgium,BEL,2021-09-19,16616261.0,522.0
Belgium,BEL,2021-09-20,16625072.0,8811.0
Belgium,BEL,2021-09-21,16641389.0,16317.0
Belgium,BEL,2021-09-22,16672142.0,30753.0
Belgium,BEL,2021-09-23,16692525.0,20383.0
Belgium,BEL,2021-09-24,16719162.0,26637.0
Belgium,BEL,2021-09-25,16759659.0,40497.0
Belgium,BEL,2021-09-26,16760970.0,1311.0
Belgium,BEL,2021-09-27,16775719.0,14749.0
Belgium,BEL,2021-09-28,16799096.0,23377.0
Belgium,BEL,2021-09-29,16843356.0,44260.0
Belgium,BEL,2021-09-30,16872836.0,29480.0
Belgium,BEL,2021-10-01,16902364.0,29528.0
Belgium,BEL,2021-10-02,16931836.0,29472.0
Belgium,BEL,2021-10-03,16933014.0,1178.0
Belgium,BEL,2021-10-04,16947292.0,14278.0
Belgium,BEL,2021-10-05,16967060.0,19768.0
Belgium,BEL,2021-10-06,17008940.0,41880.0
Belgium,BEL,2021-10-07,17055424.0,46484.0
Belgium,BEL,2021-10-08,17095412.0,39988.0
Belgium,BEL,2021-10-09,17123828.0,28416.0
Belgium,BEL,2021-10-10,17125048.0,1220.0
Belgium,BEL,2021-10-11,17145332.0,20284.0
Belgium,BEL,2021-10-12,17180908.0,35576.0
Belgium,BEL,2021-10-13,17224904.0,43996.0
Belgium,BEL,2021-10-14,17265472.0,40568.0
Belgium,BEL,2021-10-15,17299252.0,33780.0
Belgium,BEL,2021-10-16,17321018.0,21766.0
Belgium,BEL,2021-10-17,17322232.0,1214.0
Belgium,BEL,2021-10-18,17334344.0,12112.0
Belgium,BEL,2021-10-19,17357560.0,23216.0
Belgium,BEL,2021-10-20,17390554.0,32994.0
Belgium,BEL,2021-10-21,17426094.0,35540.0
Belgium,BEL,2021-10-22,17457116.0,31022.0
Belgium,BEL,2021-10-23,17475496.0,18380.0
Belgium,BEL,2021-10-24,17476028.0,532.0
Belgium,BEL,2021-10-25,17492480.0,16452.0
Belgium,BEL,2021-10-26,17522888.0,30408.0
Belgium,BEL,2021-10-27,17560086.0,37198.0
Belgium,BEL,2021-10-28,17598256.0,38170.0
Belgium,BEL,2021-10-29,17629220.0,30964.0
Belgium,BEL,2021-10-30,17646402.0,17182.0
Belgium,BEL,2021-10-31,17646692.0,290.0
Belgium,BEL,2021-11-01,17647936.0,1244.0
Belgium,BEL,2021-11-02,17667556.0,19620.0
Belgium,BEL,2021-11-03,17699060.0,31504.0
Belgium,BEL,2021-11-04,17729836.0,30776.0
Belgium,BEL,2021-11-05,17758464.0,28628.0
Belgium,BEL,2021-11-06,17777418.0,18954.0
Belgium,BEL,2021-11-07,17779448.0,2030.0
Belgium,BEL,2021-11-08,17800328.0,20880.0
Belgium,BEL,2021-11-09,17832400.0,32072.0
Belgium,BEL,2021-11-10,17879680.0,47280.0
Belgium,BEL,2021-11-11,17886470.0,6790.0
Belgium,BEL,2021-11-12,17918364.0,31894.0
Belgium,BEL,2021-11-13,17939968.0,21604.0
Belgium,BEL,2021-11-14,17940554.0,586.0
Belgium,BEL,2021-11-15,17971460.0,30906.0
Belgium,BEL,2021-11-16,18023888.0,52428.0
Belgium,BEL,2021-11-17,18100860.0,76972.0
Belgium,BEL,2021-11-18,18169666.0,68806.0
Belgium,BEL,2021-11-19,18231896.0,62230.0
Belgium,BEL,2021-11-20,18263576.0,31680.0
Belgium,BEL,2021-11-21,18264744.0,1168.0
Belgium,BEL,2021-11-22,18314006.0,49262.0
Belgium,BEL,2021-11-23,18402080.0,88074.0
Belgium,BEL,2021-11-24,18508292.0,106212.0
Belgium,BEL,2021-11-25,18630200.0,121908.0
Belgium,BEL,2021-11-26,18729436.0,99236.0
Belgium,BEL,2021-11-27,18769868.0,40432.0
Belgium,BEL,2021-11-28,18773232.0,3364.0
Belgium,BEL,2021-11-29,18852924.0,79692.0
Belgium,BEL,2021-11-30,18960294.0,107370.0
Belgium,BEL,2021-12-01,19085022.0,124728.0
Belgium,BEL,2021-12-02,19210580.0,125558.0
Belgium,BEL,2021-12-03,19325754.0,115174.0
Belgium,BEL,2021-12-04,19379796.0,54042.0
Belgium,BEL,2021-12-05,19384148.0,4352.0
Belgium,BEL,2021-12-06,19468198.0,84050.0
Belgium,BEL,2021-12-07,19582844.0,114646.0
Belgium,BEL,2021-12-08,19704440.0,121596.0
Belgium,BEL,2021-12-09,19839528.0,135088.0
Belgium,BEL,2021-12-10,19956964.0,117436.0
Belgium,BEL,2021-12-11,20020754.0,63790.0
Belgium,BEL,2021-12-12,20026500.0,5746.0
Belgium,BEL,2021-12-13,20132136.0,105636.0
Belgium,BEL,2021-12-14,20262754.0,130618.0
Belgium,BEL,2021-12-15,20392524.0,129770.0
Belgium,BEL,2021-12-16,20532454.0,139930.0
Belgium,BEL,2021-12-17,20670280.0,137826.0
Belgium,BEL,2021-12-18,20745562.0,75282.0
Belgium,BEL,2021-12-19,20760416.0,14854.0
Belgium,BEL,2021-12-20,20904764.0,144348.0
Belgium,BEL,2021-12-21,21085816.0,181052.0
Belgium,BEL,2021-12-22,21257402.0,171586.0
Belgium,BEL,2021-12-23,21394036.0,136634.0
Belgium,BEL,2021-12-24,21408188.0,14152.0
Belgium,BEL,2021-12-25,21408292.0,104.0
Belgium,BEL,2021-12-26,21409808.0,1516.0
Belgium,BEL,2021-12-27,21484500.0,74692.0
Belgium,BEL,2021-12-28,21576164.0,91664.0
Belgium,BEL,2021-12-29,21670084.0,93920.0
Belgium,BEL,2021-12-30,21725084.0,55000.0
Belgium,BEL,2021-12-31,21730352.0,5268.0
Belgium,BEL,2022-01-01,21730428.0,76.0
Belgium,BEL,2022-01-02,21730574.0,146.0
Belgium,BEL,2022-01-03,21856252.0,125678.0
Belgium,BEL,2022-01-04,22004072.0,147820.0
Belgium,BEL,2022-01-05,22059280.0,55208.0
Belgium,BEL,2022-01-06,22220940.0,161660.0
Belgium,BEL,2022-01-07,22378576.0,157636.0
Belgium,BEL,2022-01-08,22464392.0,85816.0
Belgium,BEL,2022-01-09,22487500.0,23108.0
Belgium,BEL,2022-01-10,22613236.0,125736.0
Belgium,BEL,2022-01-11,22760364.0,147128.0
Belgium,BEL,2022-01-12,22892048.0,131684.0
Belgium,BEL,2022-01-13,23027726.0,135678.0
Belgium,BEL,2022-01-14,23150428.0,122702.0
Belgium,BEL,2022-01-15,23208528.0,58100.0
Belgium,BEL,2022-01-16,23221096.0,12568.0
Belgium,BEL,2022-01-17,23307044.0,85948.0
Belgium,BEL,2022-01-18,23395528.0,88484.0
Belgium,BEL,2022-01-19,23465636.0,70108.0
Belgium,BEL,2022-01-20,23541888.0,76252.0
Belgium,BEL,2022-01-21,23610036.0,68148.0
Belgium,BEL,2022-01-22,23642876.0,32840.0
Belgium,BEL,2022-01-23,23646792.0,3916.0
Belgium,BEL,2022-01-24,23698320.0,51528.0
Belgium,BEL,2022-01-25,23741268.0,42948.0
Belgium,BEL,2022-01-26,23788346.0,47078.0
Belgium,BEL,2022-01-27,23830016.0,41670.0
Belgium,BEL,2022-01-28,23875136.0,45120.0
Belgium,BEL,2022-01-29,23912992.0,37856.0
Belgium,BEL,2022-01-30,23918804.0,5812.0
Belgium,BEL,2022-01-31,23942664.0,23860.0
Belgium,BEL,2022-02-01,23974202.0,31538.0
Belgium,BEL,2022-02-02,24028450.0,54248.0
Belgium,BEL,2022-02-03,24057986.0,29536.0
Belgium,BEL,2022-02-04,24091130.0,33144.0
Belgium,BEL,2022-02-05,24152440.0,61310.0
Belgium,BEL,2022-02-06,24167976.0,15536.0
Belgium,BEL,2022-02-07,24183264.0,15288.0
Belgium,BEL,2022-02-08,24206788.0,23524.0
Belgium,BEL,2022-02-09,24283908.0,77120.0
Belgium,BEL,2022-02-10,24324594.0,40686.0
Belgium,BEL,2022-02-11,24364828.0,40234.0
Belgium,BEL,2022-02-12,24445708.0,80880.0
